store_id,name,deadline_days,deadline_time,keywords,always_open,fixed_note,memo
dm_dth,둠이스케이프 DTH점,7,23:30,"슬래셔,트리거,언리얼,스네어",,,https://doomescape.com/
dm_fear,둠이스케이프 FEAR점,5,23:45,"허수아비,옵스큐라,데이투어,scarecrow,obscura,daytour,옵큐",,,https://doomescape.com/
dre_kd,드림이스케이프 건대점,6,0:00,"V.E.T,브이이티,돌핀,DOLPHIN,올더박스파라다이스,올박,ALL THE BOX PARADISE,바야흐로여름이었다,바여름",,,https://naver.me/FBe2kT4H
dp_tk,딥띵커,13,0:00,옹이의꿈,,,https://deepthinker.co.kr/
last_esc,라스트 이스케이프,,,"알카트라즈,ALCATRAZ,비서,SECRETARY,오감,클럽레벨스,CLUB LEVELS,CLUB LE7ELS",1,,http://lastescape.co.kr/
live_c,라이브시네마,,,"우정,학교:그날의이야기",1,매월 1일 00:00 다음 달 1일~말일 예약 오픈,https://naver.me/5D8tUCV4
rs_hr,러시아워,,,"전생연분,녀,하루끝,미끼,빔프로젝트",1,,
rh_rm,러시아워 2호점 로드맨션,,,"지난날,오드의마법사,우당탕탕 치즈탈환 대작전!,듀얼",1,,https://naver.me/5HksuiTR
rh_ct,러시아워 3호점 시네마틱,,,"악녀-은화기숙학원,빨간집",1,매주 수요일 15:00 다음주 토~다다음주 금 예약 오픈,https://naver.me/5TQMYzbQ
lds_hd,레다스퀘어 홍대점,7,21:00,"세상의진실을마주하는일에대하여,세진마,아득히바라던타오름에대하여,아바타,사라진진실과상실에대하여,사진상",,,https://ledasquare.com/
lt_ss,레토 성수,6,0:00,호텔 레토,,,https://hotelletoh.co.kr/
